                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.2651,                 3.0377,                 2.8182,                0.73597,                0.61804,                0.70817,                0.50346,                 2.1488,                 2.2159,                 2.7036,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.2631,                 3.0172,                 2.8168,                0.73253,                0.62323,                 0.7102,                0.50535,                 2.1473,                 2.2109,                 2.7016,               0.006733,               0.006733,               0.006733
                     68,                 2.2746,                 3.0164,                 2.8163,                0.72755,                0.62493,                0.71091,                0.50599,                 2.1449,                 2.2071,                  2.699,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.2573,                  3.002,                 2.8112,                0.72709,                 0.6295,                 0.7125,                0.50747,                 2.1419,                 2.2024,                 2.6972,               0.006634,               0.006634,               0.006634
                     70,                 2.2547,                 2.9913,                 2.8101,                0.72928,                0.63241,                0.71343,                0.50863,                 2.1403,                 2.1981,                  2.696,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.2484,                 3.0009,                 2.7984,                0.73295,                0.62963,                0.71408,                0.50972,                 2.1382,                 2.1937,                 2.6935,               0.006535,               0.006535,               0.006535
                     72,                 2.2432,                 2.9633,                 2.7974,                0.73319,                0.62977,                 0.7149,                0.51009,                 2.1358,                 2.1923,                 2.6908,              0.0064855,              0.0064855,              0.0064855
                     73,                 2.2499,                 2.9577,                 2.7954,                  0.736,                0.62932,                0.71649,                0.51159,                 2.1319,                 2.1889,                 2.6879,               0.006436,               0.006436,               0.006436
                     74,                 2.2512,                 2.9408,                 2.7943,                0.73493,                0.63108,                0.71704,                0.51242,                 2.1321,                 2.1813,                 2.6873,              0.0063865,              0.0063865,              0.0063865
                     75,                 2.2297,                 2.9327,                 2.7806,                0.73533,                0.62977,                 0.7177,                0.51287,                 2.1284,                 2.1795,                  2.684,               0.006337,               0.006337,               0.006337
                     76,                 2.2344,                 2.9172,                 2.7837,                0.73769,                0.63045,                0.71864,                0.51385,                 2.1261,                 2.1761,                 2.6816,              0.0062875,              0.0062875,              0.0062875
                     77,                 2.2347,                 2.9402,                 2.7866,                0.73896,                 0.6315,                0.71863,                0.51403,                  2.123,                 2.1751,                  2.679,               0.006238,               0.006238,               0.006238
                     78,                 2.2266,                 2.9258,                 2.7866,                0.74021,                0.63215,                 0.7195,                0.51475,                 2.1222,                 2.1701,                 2.6778,              0.0061885,              0.0061885,              0.0061885
                     79,                 2.2233,                 2.9044,                  2.775,                0.73558,                0.63574,                0.72019,                0.51577,                 2.1208,                 2.1654,                  2.676,               0.006139,               0.006139,               0.006139
                     80,                 2.2175,                 2.8931,                 2.7692,                0.74015,                0.63521,                0.72118,                0.51634,                 2.1199,                 2.1617,                 2.6747,              0.0060895,              0.0060895,              0.0060895
                     81,                  2.217,                 2.8836,                 2.7706,                0.74357,                0.63579,                0.72221,                0.51742,                 2.1188,                  2.157,                 2.6732,                0.00604,                0.00604,                0.00604
                     82,                 2.2214,                 2.8937,                 2.7763,                0.74489,                0.63492,                0.72308,                0.51812,                 2.1178,                 2.1517,                 2.6717,              0.0059905,              0.0059905,              0.0059905
