                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.95868,                 1.1474,                 1.3068,                0.76763,                0.71458,                0.78122,                0.58124,                0.94039,                0.90189,                 1.2574,              0.0065845,              0.0065845,              0.0065845
                     71,                  0.956,                 1.1458,                 1.3017,                0.76933,                0.71465,                0.78182,                 0.5823,                0.93893,                0.89919,                 1.2561,               0.006535,               0.006535,               0.006535
                     72,                0.95155,                 1.1353,                 1.2991,                0.77144,                0.71404,                0.78267,                0.58345,                0.93816,                0.89685,                 1.2552,              0.0064855,              0.0064855,              0.0064855
                     73,                0.95619,                 1.1288,                 1.3006,                0.76777,                0.71781,                 0.7834,                0.58399,                0.93735,                0.89487,                 1.2543,               0.006436,               0.006436,               0.006436
                     74,                0.95085,                 1.1199,                 1.2967,                0.77008,                0.71777,                0.78425,                0.58474,                0.93669,                0.89269,                 1.2537,              0.0063865,              0.0063865,              0.0063865
                     75,                0.94122,                 1.1125,                 1.2913,                0.76628,                0.72124,                0.78491,                0.58541,                 0.9362,                0.89041,                 1.2531,               0.006337,               0.006337,               0.006337
                     76,                0.94298,                 1.0974,                 1.2893,                0.76626,                0.72101,                0.78545,                0.58622,                0.93564,                0.88823,                 1.2525,              0.0062875,              0.0062875,              0.0062875
                     77,                0.94344,                 1.1051,                 1.2931,                0.76598,                 0.7209,                0.78583,                0.58705,                0.93491,                0.88606,                 1.2518,               0.006238,               0.006238,               0.006238
                     78,                0.93786,                 1.1002,                 1.2898,                0.76803,                0.72145,                0.78648,                 0.5872,                0.93427,                0.88462,                 1.2511,              0.0061885,              0.0061885,              0.0061885
                     79,                0.93725,                 1.0941,                 1.2871,                0.76832,                0.72246,                0.78713,                0.58812,                0.93359,                 0.8828,                 1.2502,               0.006139,               0.006139,               0.006139
                     80,                0.93091,                 1.0785,                 1.2805,                0.76939,                0.72329,                0.78779,                0.58867,                0.93339,                0.88138,                   1.25,              0.0060895,              0.0060895,              0.0060895
                     81,                0.93282,                 1.0779,                 1.2816,                0.77022,                0.72347,                0.78842,                0.58914,                0.93305,                 0.8797,                 1.2494,                0.00604,                0.00604,                0.00604
                     82,                0.93134,                 1.0831,                 1.2825,                0.77158,                0.72332,                0.78911,                0.58992,                0.93246,                0.87826,                 1.2488,              0.0059905,              0.0059905,              0.0059905
                     83,                0.92726,                 1.0693,                 1.2778,                0.77327,                0.72291,                0.78975,                0.59037,                0.93192,                0.87668,                 1.2482,               0.005941,               0.005941,               0.005941
                     84,                0.92482,                 1.0614,                 1.2748,                0.77333,                0.72413,                0.79044,                0.59115,                0.93118,                0.87478,                 1.2474,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.9189,                 1.0546,                 1.2725,                0.77307,                0.72439,                0.79094,                0.59128,                0.93075,                0.87278,                 1.2469,               0.005842,               0.005842,               0.005842
                     86,                0.91483,                 1.0489,                 1.2728,                0.77509,                0.72408,                0.79146,                  0.592,                0.92987,                0.87038,                  1.246,              0.0057925,              0.0057925,              0.0057925
                     87,                0.92233,                 1.0527,                 1.2735,                 0.7874,                0.71579,                0.79212,                0.59246,                0.92963,                0.86812,                 1.2455,               0.005743,               0.005743,               0.005743
                     88,                0.91747,                 1.0535,                 1.2709,                0.77785,                0.72345,                0.79274,                0.59297,                  0.929,                0.86644,                 1.2447,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.9103,                 1.0434,                 1.2633,                0.77675,                0.72438,                0.79318,                 0.5937,                0.92837,                0.86454,                  1.244,               0.005644,               0.005644,               0.005644
                     90,                0.91079,                 1.0338,                 1.2634,                 0.7772,                0.72319,                0.79366,                0.59451,                0.92795,                0.86241,                 1.2434,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90113,                 1.0267,                 1.2591,                0.78008,                0.72303,                0.79425,                0.59525,                0.92743,                0.86022,                 1.2428,               0.005545,               0.005545,               0.005545
                     92,                0.90586,                 1.0155,                 1.2585,                 0.7834,                0.72023,                0.79463,                0.59583,                0.92701,                0.85779,                 1.2421,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89746,                 1.0091,                 1.2547,                0.78328,                0.72148,                0.79507,                0.59638,                0.92611,                0.85576,                 1.2411,               0.005446,               0.005446,               0.005446
                     94,                0.89925,                 1.0064,                  1.254,                0.77986,                0.72523,                0.79547,                0.59707,                0.92551,                0.85408,                 1.2403,              0.0053965,              0.0053965,              0.0053965
                     95,                0.89683,                 1.0034,                 1.2516,                0.78065,                0.72483,                 0.7957,                0.59771,                0.92499,                0.85202,                 1.2396,               0.005347,               0.005347,               0.005347
                     96,                0.89747,                 1.0051,                 1.2514,                0.78352,                0.72414,                0.79664,                0.59832,                0.92442,                 0.8499,                 1.2387,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.8863,                0.99294,                 1.2447,                0.78444,                0.72283,                0.79752,                0.59897,                0.92373,                0.84826,                 1.2378,               0.005248,               0.005248,               0.005248
                     98,                0.89253,                0.99159,                 1.2504,                 0.7864,                0.72342,                0.79811,                0.59946,                0.92331,                0.84659,                 1.2372,              0.0051985,              0.0051985,              0.0051985
                     99,                0.88713,                 0.9861,                 1.2433,                0.78702,                0.72347,                0.79837,                0.60033,                0.92289,                0.84467,                 1.2365,               0.005149,               0.005149,               0.005149
                    100,                0.88389,                0.97802,                 1.2418,                0.78535,                0.72589,                0.79887,                0.60107,                0.92274,                0.84261,                 1.2362,              0.0050995,              0.0050995,              0.0050995
                    101,                0.87969,                0.96547,                 1.2378,                0.78495,                0.72542,                0.79932,                0.60156,                0.92244,                0.84071,                 1.2357,                0.00505,                0.00505,                0.00505
                    102,                0.88444,                0.97118,                  1.244,                0.78475,                0.72687,                0.79957,                0.60184,                0.92175,                 0.8389,                  1.235,              0.0050005,              0.0050005,              0.0050005
                    103,                0.88166,                0.97156,                  1.241,                0.78158,                0.72995,                0.80012,                0.60239,                0.92133,                0.83696,                 1.2343,               0.004951,               0.004951,               0.004951
                    104,                0.87683,                 0.9622,                 1.2389,                0.78112,                0.73185,                0.80096,                0.60307,                0.92074,                0.83515,                 1.2337,              0.0049015,              0.0049015,              0.0049015
                    105,                0.87721,                0.95758,                 1.2373,                0.78406,                0.72962,                0.80146,                0.60336,                0.92029,                0.83303,                 1.2332,               0.004852,               0.004852,               0.004852
                    106,                0.87219,                  0.956,                 1.2317,                0.78899,                0.72808,                0.80193,                0.60412,                 0.9195,                0.83126,                 1.2324,              0.0048025,              0.0048025,              0.0048025
                    107,                0.86903,                0.95388,                 1.2306,                0.78988,                0.72864,                0.80233,                 0.6048,                0.91919,                0.82956,                 1.2321,               0.004753,               0.004753,               0.004753
                    108,                0.86948,                 0.9462,                 1.2292,                 0.7925,                0.72817,                0.80301,                0.60554,                0.91871,                 0.8277,                 1.2315,              0.0047035,              0.0047035,              0.0047035
                    109,                0.86862,                0.93972,                 1.2288,                0.79358,                0.72817,                 0.8038,                0.60593,                0.91839,                0.82597,                  1.231,               0.004654,               0.004654,               0.004654
                    110,                0.86317,                0.93001,                 1.2256,                0.79133,                0.72931,                0.80421,                0.60653,                0.91808,                0.82443,                 1.2305,              0.0046045,              0.0046045,              0.0046045
                    111,                0.86387,                0.93094,                 1.2259,                0.79207,                0.73052,                0.80438,                0.60666,                0.91786,                0.82263,                 1.2301,               0.004555,               0.004555,               0.004555
                    112,                0.85769,                 0.9273,                 1.2213,                0.78993,                0.73442,                  0.805,                0.60721,                0.91755,                0.82133,                 1.2297,              0.0045055,              0.0045055,              0.0045055
                    113,                0.85745,                0.92265,                 1.2207,                 0.7897,                0.73462,                 0.8052,                0.60768,                0.91732,                0.81991,                 1.2293,               0.004456,               0.004456,               0.004456
                    114,                 0.8502,                  0.919,                 1.2181,                0.78982,                0.73563,                0.80578,                 0.6083,                0.91708,                0.81825,                  1.229,              0.0044065,              0.0044065,              0.0044065
                    115,                0.85652,                0.91927,                 1.2193,                0.78982,                0.73494,                0.80593,                0.60884,                0.91677,                0.81661,                 1.2287,               0.004357,               0.004357,               0.004357
                    116,                 0.8512,                0.91731,                 1.2174,                0.78904,                0.73601,                0.80629,                0.60968,                0.91642,                0.81502,                 1.2282,              0.0043075,              0.0043075,              0.0043075
                    117,                 0.8425,                 0.9017,                 1.2109,                 0.7899,                 0.7349,                0.80644,                0.61001,                0.91626,                0.81392,                 1.2279,               0.004258,               0.004258,               0.004258
                    118,                0.84733,                0.90176,                 1.2107,                0.79138,                0.73535,                0.80723,                0.61051,                0.91616,                0.81259,                 1.2275,              0.0042085,              0.0042085,              0.0042085
                    119,                0.84617,                0.89575,                 1.2096,                0.79016,                0.73644,                0.80756,                0.61113,                0.91607,                0.81145,                 1.2272,               0.004159,               0.004159,               0.004159
